DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2016-02-01 01:51:00,5,3,89,S,13,0,1008.81,0,Mostly Cloudy
2016-02-01 02:51:00,5,3,86,S,13,0,1008.13,0,Mostly Cloudy
2016-02-01 03:51:00,5,3,89,S,14,0,1007.79,0,Cloudy
2016-02-01 04:51:00,6,4,86,S,21,0,1007.79,0,Mostly Cloudy
2016-02-01 05:51:00,5,3,89,S,13,0,1007.79,0,Mostly Cloudy
2016-02-01 06:51:00,5,3,86,S,19,0,1007.79,0,Cloudy
2016-02-01 07:51:00,6,3,82,SSW,5,0,1008.47,0,Mostly Cloudy
2016-02-01 08:51:00,7,4,82,SW,5,0,1009.14,0,Mostly Cloudy
2016-02-01 09:51:00,9,4,71,WSW,13,0,1009.48,0,Mostly Cloudy
2016-02-01 10:51:00,12,5,62,WSW,19,0,1009.14,0,Mostly Cloudy
2016-02-01 11:51:00,14,4,51,W,26,0,1009.14,0,Partly Cloudy
2016-02-01 12:51:00,14,4,51,W,21,0,1009.48,0,Mostly Cloudy
2016-02-01 13:51:00,15,4,49,W,14,0,1008.81,0,Mostly Cloudy
2016-02-01 14:51:00,15,5,51,WNW,14,0,1009.14,0,Mostly Cloudy
2016-02-01 15:51:00,16,5,49,NNW,19,0,1009.48,0,Cloudy
2016-02-01 16:51:00,14,3,47,NNW,24,0,1010.84,0,Mostly Cloudy
2016-02-01 17:51:00,11,3,57,NNW,14,0,1011.85,0,Light Rain
2016-02-01 18:51:00,11,3,59,NNW,16,0,1013.21,0,Light Rain
2016-02-01 19:51:00,11,1,49,NNW,19,0,1013.89,0,Light Rain
2016-02-01 20:51:00,10,0,50,N,14,0,1014.56,0,Light Rain
2016-02-01 21:51:00,9,-2,46,NNW,11,0,1015.92,0,Mostly Cloudy
2016-02-01 22:51:00,9,-1,50,N,13,0,1016.59,0,Mostly Cloudy
2016-02-01 23:51:00,7,-2,53,NNE,11,0,1017.61,0,Mostly Cloudy
2016-02-02 00:51:00,6,-2,56,N,13,0,1018.63,0,Fair
2016-02-02 01:51:00,5,-4,53,N,14,0,1019.3,0,Fair
