DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2018-05-01 00:51:00,9,4,71,WSW,14,0,1017.27,0,Partly Cloudy
2018-05-01 01:51:00,9,4,71,W,16,0,1016.93,0,Mostly Cloudy
2018-05-01 02:51:00,10,4,66,W,19,0,1016.59,0,Mostly Cloudy
2018-05-01 03:51:00,9,4,69,W,21,0,1017.27,0,Mostly Cloudy
2018-05-01 04:51:00,9,4,71,WSW,21,0,1016.93,0,Mostly Cloudy
2018-05-01 05:51:00,9,4,74,W,14,0,1017.95,0,Mostly Cloudy
2018-05-01 06:51:00,9,4,74,WSW,23,0,1018.29,0,Partly Cloudy
2018-05-01 07:51:00,11,4,61,WSW,10,0,1018.63,0,Fair
2018-05-01 08:51:00,14,1,41,W,14,0,1018.63,0,Fair
2018-05-01 09:51:00,17,-1,30,WNW,13,0,1018.63,0,Fair
2018-05-01 10:51:00,19,-3,23,NW,21,37,1018.29,0,Fair
2018-05-01 11:51:00,21,-5,18,WNW,21,0,1017.61,0,Fair
2018-05-01 12:51:00,23,-4,16,WNW,34,39,1017.61,0,Fair / Windy
2018-05-01 13:51:00,24,-3,16,W,16,0,1017.27,0,Fair
2018-05-01 14:29:00,23,1,24,SSW,27,0,1016.93,0,Fair
2018-05-01 14:51:00,23,1,24,SSW,29,0,1016.59,0,Fair
2018-05-01 15:51:00,22,3,30,S,23,0,1016.59,0,Fair
2018-05-01 16:51:00,19,3,34,S,23,0,1016.59,0,Partly Cloudy
2018-05-01 17:51:00,18,4,40,S,21,0,1016.59,0,Mostly Cloudy
2018-05-01 18:51:00,17,6,48,SSE,8,0,1016.59,0,Mostly Cloudy
2018-05-01 19:51:00,15,7,60,S,10,0,1016.93,0,Mostly Cloudy
2018-05-01 20:51:00,13,8,69,CALM,0,0,1017.61,0,Partly Cloudy
2018-05-01 21:51:00,16,7,56,SSW,14,0,1017.61,0,Fair
2018-05-01 22:51:00,16,7,55,SW,14,0,1017.95,0,Fair
2018-05-01 23:51:00,16,7,55,WSW,16,0,1018.29,0,Fair
2018-05-02 00:51:00,14,7,64,SW,11,0,1018.29,0,Fair
2018-05-02 01:51:00,15,7,58,SW,14,0,1017.95,0,Fair
2018-05-02 02:51:00,14,7,60,WSW,16,0,1017.95,0,Fair
2018-05-02 03:51:00,13,7,64,WSW,13,0,1018.29,0,Fair
2018-05-02 04:51:00,13,6,64,SW,14,0,1018.29,0,Fair
2018-05-02 05:51:00,13,6,64,SW,21,0,1018.63,0,Fair
2018-05-02 06:51:00,14,7,62,WSW,10,0,1018.96,0,Partly Cloudy
2018-05-02 07:51:00,18,6,46,SW,13,0,1019.3,0,Fair
2018-05-02 08:51:00,19,7,44,SW,14,0,1019.3,0,Fair
2018-05-02 09:51:00,21,6,38,SW,19,0,1018.96,0,Partly Cloudy
2018-05-02 10:51:00,24,6,30,SW,23,0,1018.96,0,Partly Cloudy
2018-05-02 11:51:00,27,6,25,SW,27,0,1018.29,0,Mostly Cloudy
2018-05-02 12:51:00,28,6,24,SSW,23,0,1017.61,0,Mostly Cloudy
2018-05-02 13:51:00,27,8,30,SSW,21,0,1017.27,0,Mostly Cloudy
